"filename", "language", "JSON", "JavaScript", "CSS", "Log", "XML", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\HCMUT\HK222\CSE_project\Back_end\src\services\AutoIrrigationOperation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -144, -5, -8, -157
"d:\HCMUT\HK222\CSE_project\Back_end\src\services\ConditionService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -8, 0, -2, -10
"d:\HCMUT\HK222\CSE_project\Back_end\src\services\DevicesService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -40, -3, -4, -47
"d:\HCMUT\HK222\CSE_project\Back_end\src\services\ServerRecordService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -39, -1, -6, -46
"d:\HCMUT\HK222\CSE_project\Back_end\src\utils\date.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -14, 0, -4, -18
"d:\HCMUT\HK222\CSE_project\Back_end\src\utils\httpRequestAda.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -29, -1, -7, -37
"d:\HCMUT\HK222\CSE_project\Back_end\src\utils\readFileJson.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -23, -1, -4, -28
"d:\HCMUT\HK222\CSE_project\Back_end\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, -11, 0, -90, -9, -110
"d:\HCMUT\HK222\CSE_project\CSE_android\.eslintrc.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\HCMUT\HK222\CSE_project\CSE_android\.idea\CSE_android.iml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"d:\HCMUT\HK222\CSE_project\CSE_android\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\HCMUT\HK222\CSE_project\CSE_android\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\HCMUT\HK222\CSE_project\CSE_android\App.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 1, 5, 39
"d:\HCMUT\HK222\CSE_project\CSE_android\app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 15, 0, 29
"d:\HCMUT\HK222\CSE_project\CSE_android\assets\images\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\HCMUT\HK222\CSE_project\CSE_android\babel.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\HCMUT\HK222\CSE_project\CSE_android\eas.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\HCMUT\HK222\CSE_project\CSE_android\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\HCMUT\HK222\CSE_project\CSE_android\input.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\HCMUT\HK222\CSE_project\CSE_android\package-lock.json", "JSON", 32446, 0, 0, 0, 0, 0, 0, 0, 1, 32447
"d:\HCMUT\HK222\CSE_project\CSE_android\package.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 1, 64
"d:\HCMUT\HK222\CSE_project\CSE_android\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\HCMUT\HK222\CSE_project\CSE_android\src\apiServices\searchService.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\DetectionBox.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 5, 124
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\DeviceItem\data.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\DeviceItem\index.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 2, 67
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\Loading.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\RadioButtonComponent.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
